1,158,1,2023-11-19 22:12:49.718685,2023-11-19 22:12:49.827768,2023-11-19 22:12:49.825691
2,159,1,2023-11-19 22:12:49.834343,2023-11-19 22:12:49.920024,2023-11-19 22:12:49.917593
3,160,1,2023-11-19 22:12:49.926302,2023-11-19 22:12:50.016628,2023-11-19 22:12:50.014248
4,161,1,2023-11-19 22:12:50.024160,2023-11-19 22:12:50.113809,2023-11-19 22:12:50.111566
5,162,1,2023-11-19 22:12:50.120609,2023-11-19 22:12:50.211803,2023-11-19 22:12:50.209443
6,163,1,2023-11-19 22:12:50.218588,2023-11-19 22:12:50.308929,2023-11-19 22:12:50.306714
7,164,1,2023-11-19 22:12:50.315939,2023-11-19 22:12:50.407232,2023-11-19 22:12:50.404864
8,165,1,2023-11-19 22:12:50.414226,2023-11-19 22:12:50.506443,2023-11-19 22:12:50.503692
9,166,1,2023-11-19 22:12:50.513795,2023-11-19 22:12:50.604979,2023-11-19 22:12:50.602577
10,167,1,2023-11-19 22:12:50.612605,2023-11-19 22:12:50.704802,2023-11-19 22:12:50.702453
11,168,1,2023-11-19 22:12:50.711710,2023-11-19 22:12:50.815030,2023-11-19 22:12:50.812308
12,169,1,2023-11-19 22:12:50.822607,2023-11-19 22:12:50.925229,2023-11-19 22:12:50.922556
13,170,1,2023-11-19 22:12:50.932307,2023-11-19 22:12:51.031290,2023-11-19 22:12:51.028095
14,171,1,2023-11-19 22:12:51.038504,2023-11-19 22:12:51.136003,2023-11-19 22:12:51.132998
15,172,1,2023-11-19 22:12:51.143599,2023-11-19 22:12:51.242719,2023-11-19 22:12:51.239662
16,173,1,2023-11-19 22:12:51.251673,2023-11-19 22:12:51.350561,2023-11-19 22:12:51.348036
17,174,1,2023-11-19 22:12:51.357128,2023-11-19 22:12:51.458354,2023-11-19 22:12:51.455841
18,175,1,2023-11-19 22:12:51.465899,2023-11-19 22:12:51.567794,2023-11-19 22:12:51.564960
19,176,1,2023-11-19 22:12:51.574701,2023-11-19 22:12:51.676892,2023-11-19 22:12:51.673673
20,177,1,2023-11-19 22:12:51.684304,2023-11-19 22:12:51.785611,2023-11-19 22:12:51.781627
21,178,1,2023-11-19 22:12:51.793359,2023-11-19 22:12:51.889309,2023-11-19 22:12:51.886690
22,179,1,2023-11-19 22:12:51.897439,2023-11-19 22:12:51.995432,2023-11-19 22:12:51.992845
23,180,1,2023-11-19 22:12:52.003079,2023-11-19 22:12:52.098314,2023-11-19 22:12:52.095922
24,181,1,2023-11-19 22:12:52.105485,2023-11-19 22:12:52.203494,2023-11-19 22:12:52.200675
25,182,1,2023-11-19 22:12:52.210762,2023-11-19 22:12:52.311181,2023-11-19 22:12:52.308276
26,183,1,2023-11-19 22:12:52.318187,2023-11-19 22:12:52.414354,2023-11-19 22:12:52.411882
27,184,1,2023-11-19 22:12:52.421097,2023-11-19 22:12:52.514185,2023-11-19 22:12:52.510720
28,185,1,2023-11-19 22:12:52.521351,2023-11-19 22:12:52.615559,2023-11-19 22:12:52.613301
29,186,1,2023-11-19 22:12:52.623745,2023-11-19 22:12:52.714693,2023-11-19 22:12:52.712545
30,187,1,2023-11-19 22:12:52.721484,2023-11-19 22:12:52.816795,2023-11-19 22:12:52.814407
31,188,1,2023-11-19 22:12:52.823595,2023-11-19 22:12:52.917022,2023-11-19 22:12:52.914667
32,189,1,2023-11-19 22:12:52.924166,2023-11-19 22:12:53.018257,2023-11-19 22:12:53.015973
33,190,1,2023-11-19 22:12:53.025231,2023-11-19 22:12:53.120389,2023-11-19 22:12:53.117929
34,191,1,2023-11-19 22:12:53.127779,2023-11-19 22:12:53.226087,2023-11-19 22:12:53.222240
35,192,1,2023-11-19 22:12:53.233496,2023-11-19 22:12:53.324707,2023-11-19 22:12:53.322285
36,193,1,2023-11-19 22:12:53.332675,2023-11-19 22:12:53.423218,2023-11-19 22:12:53.421081
37,194,1,2023-11-19 22:12:53.429960,2023-11-19 22:12:53.522749,2023-11-19 22:12:53.520483
38,195,1,2023-11-19 22:12:53.529297,2023-11-19 22:12:53.620954,2023-11-19 22:12:53.618502
39,196,1,2023-11-19 22:12:53.628295,2023-11-19 22:12:53.721461,2023-11-19 22:12:53.718922
40,197,1,2023-11-19 22:12:53.728704,2023-11-19 22:12:53.822590,2023-11-19 22:12:53.820227
41,198,1,2023-11-19 22:12:53.829355,2023-11-19 22:12:53.925156,2023-11-19 22:12:53.921954
42,199,1,2023-11-19 22:12:53.932041,2023-11-19 22:12:54.022755,2023-11-19 22:12:54.020355
43,200,1,2023-11-19 22:12:54.031071,2023-11-19 22:12:54.123924,2023-11-19 22:12:54.121602
44,201,1,2023-11-19 22:12:54.130989,2023-11-19 22:12:54.227033,2023-11-19 22:12:54.224603
45,202,1,2023-11-19 22:12:54.233989,2023-11-19 22:12:54.330100,2023-11-19 22:12:54.327906
46,203,1,2023-11-19 22:12:54.336601,2023-11-19 22:12:54.432109,2023-11-19 22:12:54.429882
47,204,1,2023-11-19 22:12:54.439432,2023-11-19 22:12:54.535138,2023-11-19 22:12:54.532749
48,205,1,2023-11-19 22:12:54.542614,2023-11-19 22:12:54.636804,2023-11-19 22:12:54.633116
49,206,1,2023-11-19 22:12:54.644591,2023-11-19 22:12:54.752121,2023-11-19 22:12:54.749733
50,207,1,2023-11-19 22:12:54.759279,2023-11-19 22:12:54.858929,2023-11-19 22:12:54.856537
51,208,1,2023-11-19 22:12:54.865905,2023-11-19 22:12:54.963431,2023-11-19 22:12:54.961105
52,209,1,2023-11-19 22:12:54.970446,2023-11-19 22:12:55.067915,2023-11-19 22:12:55.065496
53,210,1,2023-11-19 22:12:55.075288,2023-11-19 22:12:55.170149,2023-11-19 22:12:55.168029
55,212,1,2023-11-19 22:12:55.276389,2023-11-19 22:12:55.376204,2023-11-19 22:12:55.362524
